tree_position,species,genbank_accession,ID_code,cluster_size,environment,substrate,substrate_description,location,reference,authors
1,Labyrinthula_sp,EU431329,LTH,2,marine,others,Symbiont of an amoeba in fishgill,"Spain, Northwest farm",doi:10.1016/j.ejop.2008.04.001,Dykova et al. 2008
2,Labyrinthula_sp,AB095092,L59,9,marine,others,Unidentified floating leaf,"Japan, Hokkaido",10.1007/s00253-003-1333-4,Kumon et al. 2003
3,Labyrinthula_sp,KT201567,QZ.18S_5,5,marine,sediment,Benthic diatom film,Unknown,NA,Huang et al. 
4,Labyrinthula_sp,FR875355,San25,NA,marine,seagrass,Zostera marina,"Norway, Skagerrak, Sandspollen",http://dx.doi.org/10.3354/meps09398,Bockelmann et al. 2012
5,Labyrinthula_sp,FR875359,Sva13,8,marine,seagrass,Zostera marina,"Finland, Northern Baltic, Svartholm",http://dx.doi.org/10.3354/meps09398,Bockelmann et al. 2012
6,Labyrinthula_zosterae,KU559375,302b9-PO,1,marine,seagrass,Posidonia oceanica,"Spain, Mediterranean Sea, Alicante, Alicante Bay",https://doi.org/10.1007/s12237-016-0087-z,Martin et al. 2016
7,Labyrinthula_sp,AB246794,N8,10,marine,others,Mangrove leaf,Japan,doi:10.1016/j.ympev.2008.09.027,Tsui et al. 2009
8,Labyrinthula_sp,AB290455,L95-1,6,marine,others,seaweed,"Japan, Kagoshima Bay",NA,Wahhid 2008
9,Labyrinthula_merlionensis,This_study,This study,NA,marine,seawater,Biddulphia sp.,"Singapore, Singapore Straits",This study,This study
10,Labyrinthula_zosterae,FR875308,LA79,22,marine,seagrass,Zostera marina,"Italy, Adriatic Sea, Gabicce Mare",http://dx.doi.org/10.3354/meps09398,Bockelmann et al. 2012
11,Labyrinthula_sp,KU559379,215b-ZM,NA,marine,seagrass,Zostera marina,"USA, Virginia, Chesapeake Bay, Cape Charles",https://doi.org/10.1007/s12237-016-0087-z,Martin et al. 2016
