pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
EU431329.1.1745_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	LTH
EU431330.1.1745_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	LTH/AF12B
AB095092.1.1719_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	L59
FR875356.1.1693_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	
FR875355.1.1693_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	
FR875359.1.1685_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	
FR875362.1.1685_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	
FR875360.1.1685_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	
AB246794.1.1680_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	N8
AB246795.1.1680_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	N12
AB290456.1.1677_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	L96-2
AB290455.1.1677_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	L95-1
AB290457.1.1648_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	01-Jy-1b
AB290459.1.1646_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	00-Bat-05
AB290454.1.1644_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	L93-3
AB022105.1.1621_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	Nakagiri(AN-1565)
OR356117.1.1614_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	 
PP496754.1.1611_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	 
PP496753.1.1611_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	 
PP496752.1.1611_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	 
PP496751.1.1611_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	 
PP496750.1.1611_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	 
GU824074.1.1497_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	
AY821970.1.1487_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Labyrinthula	Labyrinthula_sp.	1	
