pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
AB275111.1.1803_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
FJ800640.1.1421_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
FJ800629.1.1419_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
FJ800651.1.1418_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
FJ800633.1.1418_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
FJ800605.1.1398_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
GU823297.1.1258_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
EU561694.1.903_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
GU218917.1.650_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
AB219775.1.579_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB1/6/8	Labyrinthulomycetes_LAB1	Labyrinthulomycetes_LAB1_sp.	1	
AB252772.1.1679_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB10	Labyrinthulomycetes_LAB10_X	Labyrinthulomycetes_LAB10_X_sp.	1	
DQ062511.1.757_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB10	Labyrinthulomycetes_LAB10_X	Labyrinthulomycetes_LAB10_X_sp.	1	
FJ800611.1.1388_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB11	Labyrinthulomycetes_LAB11_X	Labyrinthulomycetes_LAB11_X_sp.	1	
HQ867171.1.883_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB11	Labyrinthulomycetes_LAB11_X	Labyrinthulomycetes_LAB11_X_sp.	1	
JX188369.1.1778_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB12	Labyrinthulomycetes_LAB12_X	Labyrinthulomycetes_LAB12_X_sp.	1	
DQ918581.1.513_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB12	Labyrinthulomycetes_LAB12_X	Labyrinthulomycetes_LAB12_X_sp.	1	
HQ868804.1.898_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB13	Labyrinthulomycetes_LAB13_X	Labyrinthulomycetes_LAB13_X_sp.	1	
HQ868118.1.895_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB13	Labyrinthulomycetes_LAB13_X	Labyrinthulomycetes_LAB13_X_sp.	1	
HQ869002.1.874_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB13	Labyrinthulomycetes_LAB13_X	Labyrinthulomycetes_LAB13_X_sp.	1	
EF526960.1.1460_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU824035.1.1400_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU822961.1.1400_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823664.1.1211_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU824965.1.1209_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823496.1.1209_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823667.1.1209_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823647.1.1209_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823716.1.1209_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU825121.1.1209_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823192.1.1207_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823526.1.1078_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823529.1.1078_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823106.1.1077_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823035.1.1077_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU823060.1.1076_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
HM561214.1.962_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
GU072380.1.932_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
HQ869190.1.913_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulomycetes_LAB14	Labyrinthulomycetes_LAB14_X	Labyrinthulomycetes_LAB14_X_sp.	1	
